Orden;Sitios;Gobierno_local;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;colif_totales_ufc_100ml;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;Nitrato_mg_l;NH4_mg_l;DQO_mg_l;DBO_mg_l;Fosf_ortofos_mg_l;solidos_totales_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;P_total_l_mg_l
1;Canal Villanueva y Río Luján;Tigre;TI001;8/3/2017;2017;verano;no se midió;6.01;7.61;33000;3000;700;5.32;<0.05;28;15;0.21;-;-;-;-;-;-
2;Río Lujan y Arroyo Caraguatá;Tigre;TI006;8/3/2017;2017;verano;no se midió;6.54;7.12;120000;34000;9000;3.15;2.8;28;15;0.3;-;-;-;-;-;-
3;Canal Aliviador y Río Lujan;Tigre;TI002;8/3/2017;2017;verano;no se midió;4.8;7.8;45000;6000;800;3.99;<0.05;40;28;0.29;-;-;-;-;-;-
4;Río Carapachay y Arroyo Gallo Fiambre;Tigre;TI003;8/3/2017;2017;verano;no se midió;5.89;7.2;46000;6000;300;3.72;<0.05;15;5;0.21;-;-;-;-;-;-
5;Río Reconquista y Río Lujan;Tigre;TI004;8/3/2017;2017;verano;no se midió;4.5;7;32000;4000;400;3.99;0.7;35;23;0.4;-;-;-;-;-;-
6;Rio Tigre 100m antes del Rio Luján;Tigre;TI005;8/3/2017;2017;verano;no se midió;5.53;7;120000;26000;8000;4.87;2.6;48;15;0.7;-;-;-;-;-;-
7;Río Lujan y Canal San Fernando;Tigre;TI007;8/3/2017;2017;verano;no se midió;4.44;7.94;88000;33000;8500;8.86;3.1;35;10;0.3;-;-;-;-;-;-
8;Río Capitán y Río San Antonio;Tigre;TI008;8/3/2017;2017;verano;no se midió;6.82;7.34;42000;4000;100;6.65;<0.05;32;10;0.24;-;-;-;-;-;-
9;Arroyo Abra Vieja y Santa Rosa;Tigre;TI009;8/3/2017;2017;verano;no se midió;6.46;7.36;38000;3000;200;4.43;<0.05;25;15;0.23;-;-;-;-;-;-
10;Del Arca;San Fernando;SF015;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
11;Espigón La Farola;San Isidro;SI021;8/3/2017;2017;verano;24.8;5.75;7.53;8000;3000;600;6.2;0.5;18;9;<0.1;-;-;-;-;-;-
12;Reserva Ecológica;San Isidro;SI022;8/3/2017;2017;verano;24.3;7.36;7.77;46000;4000;1000;6.2;0.5;28;15;0.11;-;-;-;-;-;-
13;Playa Espigón de Pacheco;San Isidro;SI024;8/3/2017;2017;verano;24;7.93;8.19;34000;6600;1000;12.4;0.3;28;14;0.1;-;-;-;-;-;-
14;Perú Puente;San Isidro;SI023;8/3/2017;2017;verano;23.8;4.45;7.61;140000;30000;28000;25.25;5;21;3;<0.1;-;-;-;-;-;-
15;Reserva Barrio El Ceibo ;Vicente López;VL033;8/3/2017;2017;verano;22.9;6.9;7.44;125000;20000;4800;9.3;2.4;28;15;<0.1;-;-;-;-;-;-
16;Puerto de Olivos Espigón;Vicente López;VL032;8/3/2017;2017;verano;23.6;7;7.11;42000;4200;3000;13.29;0.1;25;15;<0.1;-;-;-;-;-;-
17;Costa y Melo;Vicente López;VL031;8/3/2017;2017;verano;23.8;7.8;7.45;100000;20800;11200;11.08;0.2;22;10;<0.1;-;-;-;-;-;-
18;Parque de los Niños;CABA;CA041;8/3/2017;2017;verano;23.9;8.1;8.0;62000;4000;4000;6;0.6;no realizado x cuestiones tecnicas;5;no miden;-;-;-;-;-;-
19;Costanera Norte - Espigón Abanico;CABA;CA044;8/3/2017;2017;verano;23.7;4.9;7.6;36000;6000;5500;6;0.6;no realizado x cuestiones tecnicas;5;no miden;-;-;-;-;-;-
20;Club de Pescadores;CABA;CA046;8/3/2017;2017;verano;23.6;5.5;7.7;5000;8000;8000;2;0.6;no realizado x cuestiones tecnicas;5;no miden;-;-;-;-;-;-
21;Reserva Ecológica Costanera Sur - Playita;CABA;CA047;8/3/2017;2017;verano;24.9;5.3;7.8;42000;7000;7000;4;0.5;no realizado x cuestiones tecnicas;5;no miden;-;-;-;-;-;-
22;Escollera de Propaneros;Avellaneda;AV054;8/3/2017;2017;verano;25.9;2.28;6.1;50000;22000;5200;7.09;1.3;32;16;0.27;-;-;-;-;-;-
23;Polo Petroquímico Dock Sud;Avellaneda;AV051;8/3/2017;2017;verano;24.7;6.62;6.3;60000;8600;4200;4.87;0.5;18;6;0.31;-;-;-;-;-;-
24;Arroyo Sarandí;Avellaneda;AV052;8/3/2017;2017;verano;25.2;5.6;6.4;35000;7200;1700;33.23;1.3;15;8;0.27;-;-;-;-;-;-
25;Costa de Villa Domínico     ;Avellaneda;AV055;8/3/2017;2017;verano;25.5;7.52;6.7;32000;11600;2000;10.19;1.2;30;22;0.12;-;-;-;-;-;-
26;Arroyo Santo Domingo;Avellaneda;AV053;8/3/2017;2017;verano;25.5;1.29;6.9;65000;24000;2800;10.63;1.2;21;10;0.25;-;-;-;-;-;-
27;Espora 400 m;Quilmes;QU061;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
28;Náutico 400 m;Quilmes;QU062;8/3/2017;2017;verano;26;7.14;7.46;32000;3400;800;13.29;<0.05;45;30;0.6;-;-;-;-;-;-
29;Pejerrey Club 400 m;Quilmes;QU063;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
30;Calle 14 y Costa - Salida cloaca;Berazategui;BZ078;8/3/2017;2017;verano;20.5;9.04;8.04;26000;4600;1400;11.08;0.3;33;16;<0.1;-;-;-;-;-;-
31;Puerto Trinidad calle 47;Berazategui;BZ077;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
32;Costanera Hudson Calle 63;Berazategui;BZ080;8/3/2017;2017;verano;20.5;7.62;7.56;8000;3500;400;7.97;<0.05;49;24;0.23;-;-;-;-;-;-
33;Camping Eva Perón;Ensenada;EN081;8/3/2017;2017;verano;22.8;8.22;8.18;36000;6000;200;9.75;<0.05;25;10;0.36;-;-;-;-;-;-
34;Toma de agua Club de Pesca;Ensenada;EN082;8/3/2017;2017;verano;23.6;6.53;7.85;30000;3000;200;11.96;<0.05;32;15;0.41;-;-;-;-;-;-
35;Arroyo El Gato;Ensenada;EN083;8/3/2017;2017;verano;23.9;0.78;7.87;280000;16000;4000;4.87;2.6;48;25;0.32;-;-;-;-;-;-
36;Ensenada Prefectura Isla Santiago;Ensenada;EN084;8/3/2017;2017;verano;23.1;4.67;7.62;5000;3400;200;10.63;<0.05;24;10;0.2;-;-;-;-;-;-
37;Balneario Palo Blanco;Berisso;BS092;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
38;Diagonal 66 (descarga cloaca);Berisso;BS095;8/3/2017;2017;verano;22;3.09;8.05;200000;19000;4000;4.43;2.6;102;30;0.95;-;-;-;-;-;-
39;Playa La Bagliardi;Berisso;BS091;8/3/2017;2017;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
40;Balneario Municipal;Berisso;BS094;8/3/2017;2017;verano;19;6.42;8.13;40000;5000;1500;16.39;<0.05;55;10;1.1;-;-;-;-;-;-
41;Playa La Balandra;Berisso;BS093;8/3/2017;2017;verano;20;6.66;7.51;50000;20000;400;6.65;<0.05;47;20;<0.1;-;-;-;-;-;-
1;Canal Villa Nueva y Río Luján;Tigre;TI001;31/5/2017;2017;otoño;;7.69;7.06;58000;6400;2500;5.32;0.5;22;10;<0.1;-;-;-;-;-;-
2;Río Lujan y Arroyo Caraguatá;Tigre;TI006;31/5/2017;2017;otoño;;8.02;7.01;6000;1400;1200;11.08;0.4;54;20;1;-;-;-;-;-;-
3;Canal Aliviador y Río Lujan;Tigre;TI002;31/5/2017;2017;otoño;;8.31;7.12;37000;20000;5800;3.99;4.3;48;15;0.4;-;-;-;-;-;-
4;Río Carapachay y Arroyo Gallo Fiambre;Tigre;TI003;31/5/2017;2017;otoño;;8.07;7.23;48000;7400;2200;3.1;0.4;19;5;0.2;-;-;-;-;-;-
5;Río Reconquista y Río Lujan;Tigre;TI004;31/5/2017;2017;otoño;;7.6;6.71;91000;7000;4200;9.3;2.9;51;20;0.9;-;-;-;-;-;-
6;Rio Tigre 100m antes del Rio Luján;Tigre;TI005;31/5/2017;2017;otoño;;8;7.23;7000;2400;1100;4.43;0.7;29;15;0.3;-;-;-;-;-;-
7;Río Lujan y Canal San Fernando;Tigre;TI007;31/5/2017;2017;otoño;;10.25;7.3;15000;3400;600;4.87;0.7;19;5;0.2;-;-;-;-;-;-
8;Río Capitán y Río San Antonio;Tigre;TI008;31/5/2017;2017;otoño;;9.07;7.15;51000;3200;1200;3.99;0.5;16;5;0.2;-;-;-;-;-;-
9;Arroyo Abra Vieja y Santa Rosa;Tigre;TI009;31/5/2017;2017;otoño;;9.73;7.05;48000;10000;3200;6.2;2.6;44;10;0.4;-;-;-;-;-;-
10;Del Arca;San Fernando;SF015;31/5/2017;2017;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;-;-;-;-;-;-
