Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
1;Canal Villanueva y Río Luján;Tigre;TI001;21/3/2018;2018;verano;23;8.05;7.7;no se midió;no se midió;no se midió;no se midió;2250;290;10;4.69;0.05;<0.5;0.5;36.3;13;501;8609.5;0.01;0.005;<50;194;36;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;Tigre;TI006;21/3/2018;2018;verano;20.7;8.21;8.03;no se midió;no se midió;no se midió;no se midió;2180;210;10;5.89;0.05;<0.5;0.5;27.9;5;397.5;953.5;0.01;0.005;<50;875;44;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;Tigre;TI002;21/3/2018;2018;verano;23.1;6.72;7.85;no se midió;no se midió;no se midió;no se midió;2560;1750;210;6.08;0.05;<0.5;0.5;<10;5;336;375;0.01;0.005;<50;1872;39;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;Tigre;TI003;21/3/2018;2018;verano;23.7;6.97;8.54;no se midió;no se midió;no se midió;no se midió;2560;1560;10;5.62;0.05;<0.5;0.5;<10;5;367.5;50;0.01;0.005;<50;1907;42;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;Tigre;TI004;21/3/2018;2018;verano;21.1;8.42;8.66;no se midió;no se midió;no se midió;no se midió;2340;1620;190;5.72;0.05;<0.5;0.5;22.3;5;391.5;655;0.01;0.005;<50;2659;35;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;Tigre;TI005;21/3/2018;2018;verano;20.6;8.54;7.79;no se midió;no se midió;no se midió;no se midió;2140;1230;180;5.89;0.05;<0.5;0.5;11.2;5;262.5;131;0.01;0.005;<50;1942;40;Muy deteriorada
7;Río Lujan y Canal San Fernando;Tigre;TI007;21/3/2018;2018;verano;20.8;7.46;7.52;no se midió;no se midió;no se midió;no se midió;2580;1250;110;5.83;0.05;<0.5;0.5;<10;5;312;50;0.01;0.005;<50;247;46;Muy deteriorada
8;Río Capitán y Río San Antonio;Tigre;TI008;21/3/2018;2018;verano;20.5;7.73;8.33;no se midió;no se midió;no se midió;no se midió;1700;1480;80;5.48;0.06;<0.5;0.5;<10;5;276;50;0.01;0.005;<50;526;46;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;Tigre;TI009;21/3/2018;2018;verano;20.6;9.58;7.76;no se midió;no se midió;no se midió;no se midió;1630;1260;70;5.78;0.08;<0.5;0.5;<10;5;309;330;0.01;0.005;<50;50;47;no se midió
10;Del Arca;San Fernando;SF015;21/3/2018;2018;verano;21.6;6.93;7.49;ausencia;no se midió;ausencia;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;Muy deteriorada
