Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;6/2/2019;2019;verano;26.7;4.26;6.95;ausencia;ausencia;ausencia;ausencia;400;140;30;5.5;<0.05;0.53;0.62;59;12;56;57;<0.006;<0.002;<0.5;<10;59;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;6/2/2019;2019;verano;26;3.78;6.78;ausencia;ausencia;ausencia;ausencia;300;60;<10;5.2;0.16;0.39;0.43;46;8;42;49;<0.006;<0.002;<0.5;<10;70;Deteriorada
3;Canal Aliviador y Río Lujan;TI002;6/2/2019;2019;verano;26.5;3.4;6.98;ausencia;presencia;ausencia;ausencia;1200;800;180;6.6;0.59;0.31;0.39;127;6;49;121;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;6/2/2019;2019;verano;26.3;3.18;6.79;ausencia;ausencia;ausencia;ausencia;200;120;550;3.2;0.1;0.15;0.19;56;10;51;195;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;6/2/2019;2019;verano;26.5;3.47;7.04;presencia;presencia;ausencia;ausencia;3000;2500;200;3;0.62;<0.1;0.37;24;10;50;49;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;6/2/2019;2019;verano;27;3.52;6.95;ausencia;presencia;ausencia;ausencia;1900;1400;400;3;0.25;0.29;0.5;42;6;51;49;<0.006;<0.002;<0.5;<10;52;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;6/2/2019;2019;verano;26.9;3.48;7.38;ausencia;ausencia;ausencia;ausencia;5000;1600;1000;3.5;1.87;0.29;0.29;32;8;44;49;<0.006;<0.002;<0.5;<10;47;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;6/2/2019;2019;verano;27.5;4.38;7.16;ausencia;ausencia;ausencia;presencia;400;70;100;2.9;<0.05;<0.1;2.34;40;8;71;49;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;6/2/2019;2019;verano;26;3.85;7.16;ausencia;ausencia;ausencia;ausencia;600;150;110;6.6;<0.05;<0.1;0.37;54;12;60;49;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
10;Del Arca;SF015;6/2/2019;2019;verano;26.3;4.25;4.46;ausencia;ausencia;presencia;presencia;4800;2200;<10;4.8;0.57;<0.1;0.68;22;12;54;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
11;Espigón La Farola;SI021;6/2/2019;2019;verano;28;5.74;5.01;ausencia;ausencia;ausencia;ausencia;1800;300;<10;3.9;0.43;0.15;0.25;27;8;50;49;<0.006;<0.002;<0.5;<10;66;Deteriorada
12;Reserva Ecológica;SI022;6/2/2019;2019;verano;28.8;7.32;7.1;ausencia;ausencia;ausencia;ausencia;1200;900;<10;5.1;0.17;<0.1;0.62;32;6;64;49;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;6/2/2019;2019;verano;28.4;6.8;6.4;ausencia;ausencia;ausencia;ausencia;46000;29600;3200;6.3;0.7;0.19;1.42;24;7;41;72;<0.006;<0.002;<0.5;<10;37;Extremadamente deteriorada
14;Perú Puente;SI023;6/2/2019;2019;verano;25.2;1.56;4.85;presencia;ausencia;presencia;presencia;200000;179500;15800;10;7.46;0.8;0.94;37;24;8;49;<0.006;<0.002;<0.5;<10;27;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;6/2/2019;2019;verano;26.6;7.5;7.63;ausencia;ausencia;ausencia;presencia;9000;7900;850;11.9;0.38;<0.1;0.43;32;6;42;49;<0.006;<0.002;<0.5;<10;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;6/2/2019;2019;verano;25.9;6.3;7.4;ausencia;ausencia;ausencia;ausencia;34000;28100;800;9.8;0.34;<0.1;0.19;42;6;49;49;<0.006;<0.002;<0.5;<10;42;Extremadamente deteriorada
17;Costa y Melo;VL031;6/2/2019;2019;verano;25.5;7.5;7.45;ausencia;ausencia;ausencia;presencia;18500;16600;950;10.6;0.16;0.19;1.29;37;6;50;225;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;6/2/2019;2019;verano;27.4;4.6;7.8;no se midió;no se midió;no se midió;no se midió;900;900;330;3;0.25;0.07;0.23;<50;<5;49;no se midió;<0.02;<0.002;<0.5;<10;53;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;6/2/2019;2019;verano;26.2;3.6;7.6;no se midió;no se midió;no se midió;no se midió;200;150;600;2;2.31;0.08;0.26;<50;<5;38;no se midió;<0.02;<0.002;<0.5;<10;49;Muy deteriorada
20;Club de Pescadores;CA046;6/2/2019;2019;verano;27.3;5.1;7.8;no se midió;no se midió;no se midió;no se midió;25000;25000;19000;2;2.44;0.09;0.29;<50;<5;163;no se midió;<0.02;<0.002;<0.5;<10;34;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;6/2/2019;2019;verano;25.9;4.7;8;no se midió;no se midió;no se midió;no se midió;52;52;31;2;0.25;0.05;0.16;<50;<5;61;no se midió;<0.02;<0.002;<0.5;<10;81;Levemente deteriorada
22;Escollera de Propaneros;AV054;6/2/2019;2019;verano;26.7;ND;6;ausencia;ausencia;ausencia;ausencia;5000;4400;50;5.6;0.35;0.15;0.43;40;26;55;49;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;6/2/2019;2019;verano;26.4;ND;6.2;ausencia;ausencia;ausencia;ausencia;2600;2400;<10;5.5;0.66;0.15;0.25;29;10;58;49;<0.006;<0.002;<0.5;<10;54;Muy deteriorada
24;Arroyo Sarandí;AV052;6/2/2019;2019;verano;26.9;ND;6.4;ausencia;ausencia;ausencia;ausencia;5200;4500;450;5.7;0.66;0.18;0.74;47;8;34;49;<0.006;<0.002;<0.5;<10;44;Extremadamente deteriorada
25;Costa de Villa Domínico     ;AV055;6/2/2019;2019;verano;26.7;ND;6.5;ausencia;ausencia;ausencia;ausencia;2700;2600;650;4.1;0.79;0.13;0.25;59;14;54;49;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
26;Arroyo Santo Domingo;AV053;6/2/2019;2019;verano;27;ND;6.8;ausencia;ausencia;ausencia;ausencia;600;500;100;4.5;0.93;0.31;0.99;52;16;39;49;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
27;Espora 400 m;QU061;6/2/2019;2019;verano;24;6.81;7.29;ausencia;ausencia;ausencia;presencia;200;200;<10;5.7;0.33;0.32;0.68;37;20;61;121;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
28;Náutico 400 m;QU062;6/2/2019;2019;verano;24;7.3;7.28;ausencia;ausencia;ausencia;presencia;600;240;<10;6.9;0.37;0.25;0.42;44;14;79;195;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
29;Pejerrey Club 400 m;QU063;6/2/2019;2019;verano;25;5.99;7.26;ausencia;ausencia;ausencia;presencia;400;400;<10;5.5;0.37;0.15;0.19;23;10;66;49;<0.006;<0.002;<0.5;<10;74;Deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;13/2/2019;2019;verano;25;9.49;8.11;presencia;ausencia;ausencia;presencia;11000;4800;1050;5.5;0.61;0.31;0.42;43;28;35;49;<0.006;<0.002;<0.5;18;39;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;13/2/2019;2019;verano;22.1;9.18;8.07;ausencia;ausencia;ausencia;ausencia;2800;1400;1400;7.3;0.05;0.31;0.99;56;26;33;75;<0.006;<0.002;<0.5;23;45;Muy deteriorada
