Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;escherichia_coli_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;DBO_mg_l;Turbiedad_NTU;Hidrocarburos_Deriv_del_Petróleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;19/2/2020;2020;verano;26.6;22;6.26;7.37;Ausencia;Ausencia;Ausencia;Ausencia;700;1.3;<0.05;0.15;8;110;<50;<0.006;<0.002;<10;75;Deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;19/2/2020;2020;verano;26;22;1.95;7.36;Ausencia;Ausencia;Ausencia;Ausencia;4600;2.8;0.73;0.16;8;70;<50;<0.006;<0.002;<10;54;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;19/2/2020;2020;verano;26;22;1.04;7.44;Ausencia;Ausencia;Ausencia;Ausencia;6600;2.2;1.4;0.17;10;55;<50;<0.006;<0.002;<10;51;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;19/2/2020;2020;verano;25.5;22;1.87;7.35;Ausencia;Ausencia;Ausencia;Ausencia;4700;1.8;0.56;0.25;10;60;<50;<0.006;<0.002;<10;53;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;19/2/2020;2020;verano;25.7;22;0.93;7.39;Ausencia;Ausencia;Ausencia;Ausencia;8200;1.6;1.72;0.12;11;50;<50;<0.006;<0.002;<10;47;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;19/2/2020;2020;verano;26.1;22;1.16;7.47;Ausencia;Ausencia;Ausencia;Ausencia;8000;1.5;1.87;0.42;6;38;<50;<0.006;<0.002;<10;48;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;19/2/2020;2020;verano;26.8;22;1.5;7.49;Ausencia;Ausencia;Ausencia;Ausencia;7500;1.2;1.98;0.35;10;41;<50;<0.006;<0.002;<10;49;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;19/2/2020;2020;verano;26.9;25;6.49;7.56;Ausencia;Ausencia;Ausencia;Ausencia;700;1.1;0.18;0.2;9;125;<50;<0.006;<0.002;<10;72;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;19/2/2020;2020;verano;26.3;25;5.51;7.37;Ausencia;Ausencia;Ausencia;Ausencia;1500;1.2;0.13;0.17;8;100;<50;<0.006;<0.002;<10;70;Deteriorada
10;Del Arca;SF015;19/2/2020;2020;verano;27.2;26;3.21;7.57;Ausencia;Ausencia;Ausencia;Presencia;14200;1.7;2.25;0.25;10;60;<50;<0.006;<0.002;<10;44;Extremadamente deteriorada
11;Espigón La Farola;SI021;19/2/2020;2020;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
12;Reserva Ecológica;SI022;19/2/2020;2020;verano;27;26;5.64;7.7;Ausencia;Ausencia;Ausencia;Ausencia;8300;3.6;0.77;0.34;8;65;62;<0.006;<0.002;<10;49;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;19/2/2020;2020;verano;27.5;26;5.61;7.62;Ausencia;Ausencia;Ausencia;Ausencia;32500;3.8;0.71;0.51;4;53;<50;<0.006;<0.002;<10;44;Extremadamente deteriorada
14;Perú Puente;SI023;19/2/2020;2020;verano;25;26;3.2;7.73;Ausencia;Ausencia;Ausencia;Presencia;360000;20;3.49;0.21;11;5.5;<50;<0.006;<0.002;<10;36;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;19/2/2020;2020;verano;25.5;no se midió;5.4;7.13;Ausencia;Ausencia;Ausencia;Ausencia;25000;5.5;0.75;0.06;9;52;<50;<0.006;<0.002;<10;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;19/2/2020;2020;verano;25.4;no se midió;5.6;7;Ausencia;Ausencia;Ausencia;Ausencia;17400;5.1;0.73;0.12;5;43;<50;<0.006;<0.002;<10;46;Muy deteriorada
17;Costa y Melo;VL031;19/2/2020;2020;verano;26.9;no se midió;4.5;7.03;Ausencia;Ausencia;Ausencia;Ausencia;36800;14.1;1.12;0.31;12;61;<50;<0.006;<0.002;<10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;12/2/2020;2020;verano;25.6;no se midió;8.2;7.8;no se midió;no se midió;no se midió;no se midió;4200;<10;0.3;0.16;<5;81;50;<0.006;<0.002;<10;55;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;12/2/2020;2020;verano;25.2;no se midió;7.4;7.5;no se midió;no se midió;no se midió;no se midió;8500;<10;0.8;0.18;<5;72;<50;<0.006;<0.002;<10;47;Muy deteriorada
20;Club de Pescadores;CA046;12/2/2020;2020;verano;25.1;no se midió;8.1;7.8;no se midió;no se midió;no se midió;no se midió;11000;<10;0.5;0.22;7;150;<50;<0.006;<0.002;<10;46;Muy deteriorada
